DATA MONTAGEM;MAPA;VEICULO;BAIA;PRODUTO;QUANTIDADE;UNIDADE;LASTRO;CODIGO DE BARRAS;MONTADOR;HORA INICIO MONTAGEM;HORA FIM MONTAGEM;CONFERENTE1;CONFERENTE2;INICIO CONFERENCIA;FIM CONFERENCIA;APONTAMENTO;DIF APONTAMENTO
01/10/2025;7230101;TDS1D25;M3;056754-COCA COLA RETORNAVEL PET 2L RT;10;CX9;1;723010110202505;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;M3;056754-COCA COLA RETORNAVEL PET 2L RT;10;CX9;2;723010110202505;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;M3;056754-COCA COLA RETORNAVEL PET 2L RT;10;CX9;3;723010110202505;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;A3;056754-COCA COLA RETORNAVEL PET 2L RT;10;CX9;1;723010110202506;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;A3;056754-COCA COLA RETORNAVEL PET 2L RT;10;CX9;2;723010110202506;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;A3;056754-COCA COLA RETORNAVEL PET 2L RT;10;CX9;3;723010110202506;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;M2;056754-COCA COLA RETORNAVEL PET 2L RT;2;CX9;1;723010110202503;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;M2;056327-FTA LARANJA RETORNAVEL 2L P;5;CX9;1;723010110202503;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;M2;056756-CC SEM ACUCAR RETORNAVEL 2L RT;9;CX9;1;723010110202503;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;M2;055957-COCA COLA KS ULTRA 290ML;10;CX24;2;723010110202503;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;M2;055957-COCA COLA KS ULTRA 290ML;2;CX24;3;723010110202503;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;A2;056840-COCA COLA LS 1 LITRO ROTULADA;10;CX12;1;723010110202504;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;A2;056840-COCA COLA LS 1 LITRO ROTULADA;8;CX12;2;723010110202504;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;A2;055860-SPRITE ORIG 290ML NORDIC KS;1;CX24;2;723010110202504;000-N/D;;;000-N/D;000-N/D;;;;0;
01/10/2025;7230101;TDS1D25;A2;056016-CC ZERO 290ML KS ULTRA CX24;4;CX24;2;723010110202504;000-N/D;;;000-N/D;000-N/D;;;;0;
